date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:55	70/70	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Feb%202022%2023:04:54%20GMT	http://roadsunwound.com/robots.txt		(from )
15:04:57	76159/76159	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2023:04:56%20GMT	http://roadsunwound.com/	r2/roadsunwound.com/index.html	(from )
15:04:57	17369/17369	---M-Z	200	added ('OK')	text/css	etag:%2204f36b7a6-0;gz%22	http://roadsunwound.com/wp-content/themes/modularity/style.css	r2/roadsunwound.com/wp-content/themes/modularity/style.css	(from http://roadsunwound.com/)
15:04:58	1325/1325	---M-Z	200	added ('OK')	text/css	etag:%2204b82114a-0;gz%22	http://roadsunwound.com/wp-content/themes/modularity/styles/print.css	r2/roadsunwound.com/wp-content/themes/modularity/styles/print.css	(from http://roadsunwound.com/)
15:04:59	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2009%20Feb%202022%2023:04:59%20GMT	http://roadsunwound.com/xmlrpc.php	r2/roadsunwound.com/xmlrpc.php	(from http://roadsunwound.com/)
15:05:00	264/264	---M--	200	added ('OK')	text/css	etag:%22059777bab-0;;;%22	http://roadsunwound.com/wp-content/plugins/share-this/css/style.css?ver=4.8.18	r2/roadsunwound.com/wp-content/plugins/share-this/css/style9440.css	(from http://roadsunwound.com/)
15:05:02	8504/8504	---M-Z	200	added ('OK')	text/css	etag:%22059777bae-0;gz%22	http://roadsunwound.com/wp-content/plugins/shashin/public/display/fancybox/jquery.fancybox.css?ver=1.3.4	r2/roadsunwound.com/wp-content/plugins/shashin/public/display/fancybox/jquery.fancyboxc412.css	(from http://roadsunwound.com/)
15:05:04	4307/4307	---M-Z	200	added ('OK')	text/css	etag:%22059777bae-0;gz%22	http://roadsunwound.com/wp-content/plugins/shashin/public/display/shashin.css?ver=3.4.11	r2/roadsunwound.com/wp-content/plugins/shashin/public/display/shashin35af.css	(from http://roadsunwound.com/)
15:05:04	64338/64338	---MC-	200	added ('OK')	application/rss+xml	etag:%223a92c36a937b9a145cb689d1b13b69af%22	http://roadsunwound.com/feed/	r2/roadsunwound.com/feed/index.html	(from http://roadsunwound.com/)
15:05:08	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%220573f3e38-0;gz%22	http://roadsunwound.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	r2/roadsunwound.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://roadsunwound.com/)
15:05:08	96874/96874	---M-Z	200	added ('OK')	application/javascript	etag:%2205d708e51-0;gz%22	http://roadsunwound.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	r2/roadsunwound.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://roadsunwound.com/)
15:05:10	3714/3714	---M-Z	200	added ('OK')	application/javascript	etag:%2204b82114a-0;gz%22	http://roadsunwound.com/wp-content/themes/modularity/includes/js/nav/superfish.js?ver=4.8.18	r2/roadsunwound.com/wp-content/themes/modularity/includes/js/nav/superfish9440.js	(from http://roadsunwound.com/)
15:05:12	192628/192628	---M-Z	200	added ('OK')	application/javascript	etag:%2204b82114a-0;gz%22	http://roadsunwound.com/wp-content/themes/modularity/includes/js/jquery-ui-1.7.2.custom.min.js?ver=4.8.18	r2/roadsunwound.com/wp-content/themes/modularity/includes/js/jquery-ui-1.7.2.custom.min9440.js	(from http://roadsunwound.com/)
15:05:12	3298/3298	---M-Z	200	added ('OK')	application/javascript	etag:%2204b82114a-0;gz%22	http://roadsunwound.com/wp-content/themes/modularity/includes/js/nav/supersubs.js?ver=4.8.18	r2/roadsunwound.com/wp-content/themes/modularity/includes/js/nav/supersubs9440.js	(from http://roadsunwound.com/)
